Agaricia agaricites
Agama aculeata
Agave attenuata
Agapanthus africanus
Agama agama
Agarivorans albus
Agave americana
Agalychnis annae
Agama atra
Agathis australis
Agaricus bisporus var. bisporus (strain H97 / ATCC MYA-4626 / FGSC 10389)
Agaricus benesii
Agaricus bisporus
Agabus bipustulatus
Agave bracteosa
Agaricus bitorquis
Agaricus bisporus var. burnettii (strain JB137-S8 / ATCC MYA-4627 / FGSC 10392)
Agaricus californicus
Agave celsii
Agalychnis callidryas
Agaricus campestris
Agapornis canus
Agallia constricta
Agapanthus campanulatus
Agarum clathratum
Agathis dammara
Agapornis fischeri
Agastache foeniculum
Agaricia fragilis
Agave ghiesbreghtii
Agaricia humilis
Agama impalearis
Agaricus lilaceps
Agapornis lilianae
Agastache mexicana
Agaraea minuta
Agathis montana
Agathis moorei
Agapornis nigrigenis
Agastachys odorata
Agave parviflora
Agaricus placomyces
Agapornis personatus
Agama planiceps
Agapanthus praecox
Agapornis pullarius
Agathis robusta
Agapornis roseicollis
Agastache rugosa
Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990)
Agassizia scrobiculata
Agalychnis spurrelli
Agaricus subrutilescens
Agapornis taranta
Agave tequilana
Agama tassiliensis
Agaricus xanthodermus
American grass carp reovirus
Agelastica alni
Agelenopsis aperta
Ageratina altissima
Agelaioides badius
Agelas clathrodes
Ageratum conyzoides
Agelas conifera
Agelasticus cyanopus
Agelas dispar
Ageratum houstonianum
Agelaius humeralis
Agelena orientalis
Agelaius phoeniceus
Agelaia pallipes pallipes
Agelas schmidti
Agelasticus thilius
Agelaius tricolor
Agelaius xanthomus
Agelasticus xanthophthalmus
Aggregatibacter actinomycetemcomitans
Aggregatibacter actinomycetemcomitans serotype C (strain D11S-1)
Aggregatibacter aphrophilus (strain NJ8700)
Aggregatibacter aphrophilus
Agkistrodon bilineatus
Agkistrodon contortrix laticinctus
Agkistrodon contortrix contortrix
Agkistrodon piscivorus conanti
Agkistrodon piscivorus piscivorus
Agkistrodon piscivorus leucostoma
Aglaophamus australiensis
Aglaeactis cupripennis
Aglaiocercus kingii
Aglais milberti
Aglaothamnion neglectum
Aglaothamnion tripinnatum
Aglais urticae
Agonis flexuosa
Agonostomus monticola
Agonum nigrum
Agrocybe aegerita
Agrostis alba
Agrostis capillaris
Agrius cingulata
Agrius convolvuli
Agropyron cristatum
Agrocybe cylindracea
Agriosphodrus dohrni
Agrocybe erebia
Agrobacterium fabrum (strain C58 / ATCC 33970)
Agromyza frontella
Agrostemma githago
Agrotis ipsilon
Agriotes lineatus
Agromyces mediolanus
Agriornis micropterus
Agrimonia parviflora
Agrilus planipennis
Agriocnemis pygmaea
Agrobacterium rhizogenes
Agrobacterium radiobacter (strain K84 / ATCC BAA-868)
Agriphila ruricolella
Agrobacterium sp. (strain ATCC 21400)
Agrobacterium sp. (strain CP4)
Agrotis segetum
Agrobacterium sp. (strain H13-3)
Agrobacterium sp. (strain KNK712)
Agrobacterium sp.
Agrostis stolonifera
Agrobacterium tumefaciens (strain Ach5)
Agrobacterium tumefaciens (strain T37)
Agrobacterium tumefaciens (strain 15955)
Agrobacterium tumefaciens (strain apple 185)
Agrobacterium tumefaciens (strain B2A)
Agrobacterium tumefaciens (strain II Chrys)
Agrobacterium tumefaciens (strain RS5)
Agraulis vanillae
Agrobacterium vitis
Agrobacterium vitis (strain S4 / ATCC BAA-846)
Agylla argentifera
Agylla asra
Avian hepatitis E virus (isolate Chicken/California/Meng)
Atlantic halibut nervous necrosis virus
African horse sickness virus 1
African horse sickness virus 2
African horse sickness virus 3
African horse sickness virus 4
African horse sickness virus 5
African horse sickness virus 6
African horse sickness virus 7
African horse sickness virus 8
African horse sickness virus 9
Atkinsonella hypoxylon virus
Alcelaphine herpesvirus 1 (strain WC11)
Atkinsonella hypoxylon virus (isolate 2H)
Aigialus parvus
Ailanthus altissima
Ailurus fulgens
Ailuropoda melanoleuca
Ailurops ursinus
Aimophila ruficeps
Aino virus
Aiptasia diaphana
Aipysurus laevis
Aiptasia pulchella
Aichi virus
Aichi virus (strain Human/A846/88/1989)
Aix galericulata
Aix sponsa
Ajellomyces capsulatus (strain H88)
Ajellomyces capsulatus
Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432)
Ajellomyces capsulatus (strain H143)
Ajellomyces capsulatus (strain NAm1 / WU24)
Ajellomyces dermatitidis (strain ATCC 18188 / CBS 674.68)
Ajellomyces dermatitidis
Ajellomyces dermatitidis (strain ER-3 / ATCC MYA-2586)
Ajuga chamaepitys
Ajuga reptans
Akania bidwillii
Akebia quinata
Akkesiphycus lubricum
Akkermansia muciniphila (strain ATCC BAA-835 / Muc)
Akodon aerosus
Akodon affinis
Akodon albiventer
Akodon azarae
Akodon boliviensis
Akodon budini
Akodon cursor
Akodon dayi
Akodon dolores
Akodon fumeus
Akodon iniscatus
Akodon juninensis
Akodon kofordi
Akodon lindberghi
Akodon lutescens puer
Akodon mimus
Akodon molinae
Akodon montensis
Akodon mollis
Akodon mystax
Akodon orophilus
Akodon paranaensis
Akodon philipmyersi
Akodon reigi
Akodon serrensis
Akodon siberiae
Akodon spegazzinii
Akodon subfuscus
Akodon toba
Akodon torques
Alabama argillacea
Alauda arvensis
Alangium chinense
Alaria esculenta
Alasmidonta heterodon
Alasmidonta marginata
Alaria marginata
Albuca bracteata
Albinaria caerulea
Albizia julibrissin
Albizia kalkora
Albuca setosa
Albinaria turrita
Alces alces alces
Alces alces cameloides
Alcithoe aillaudorum
Alcedo atthis
Alcanivorax borkumensis (strain ATCC 700651 / DSM 11573 / NCIMB 13689 / SK2)
Alcelaphus buselaphus
Alcanivorax dieselolei (strain DSM 16502 / CGMCC 1.3690 / B-5)
Alcaligenes faecalis
Alcaligenes hydrogenophilus
Alcelaphus lichtensteinii
Alcaligenes sp. (strain CT14)
Alcaligenes sp. (strain DSM 11172)
Alcaligenes sp.
Alca torda
Alcithoe wilsonae
Alcaligenes xylosoxydans xylosoxydans
Aldrichetta forsteri
Aldabrachelys gigantea
Alderia modesta
Alderia willowi
Alder yellows phytoplasma
Aleurochiton aceris
Alectrias alectrolophus
